State,Code,pop,Fips,GDP,Debt,GDP per Capita,Debt per Capita,Per Capita GDP/Debt
Alabama,AL,4903185.0,01000,202940000000,8772871000,41389.4,1789.2,23.1
Alaska,AK,731545.0,02000,54442000000,5921713000,74420.6,8094.8,9.2
Arizona,AZ,7278717.0,04000,321431000000,14291349000,44160.4,1963.4,22.5
Arkansas,AR,3017804.0,05000,119443000000,4801939000,39579.4,1591.2,24.9
California,CA,39512223.0,06000,2792029000000,152772292000,70662.4,3866.5,18.3
Colorado,CO,5758736.0,08000,353076000000,16980689000,61311.4,2948.7,20.8
Connecticut,CT,3565287.0,09000,248818000000,38756156000,69789.1,10870.4,6.4
Delaware,DE,973764.0,10000,63280000000,4561576000,64984.9,4684.5,13.9
Florida,FL,21477737.0,12000,950759000000,28823847000,44267.2,1342.0,33.0
Georgia,GA,10617423.0,13000,539536000000,13050862000,50816.1,1229.2,41.3
Hawaii,HI,1415872.0,15000,83509000000,9656278000,58980.6,6820.0,8.6
Idaho,ID,1787065.0,16000,72494000000,3369178000,40566.0,1885.3,21.5
Illinois,IL,12671821.0,17000,782019000000,61821319000,61713.2,4878.6,12.6
Indiana,IN,6732219.0,18000,332040000000,21842716000,49321.0,3244.5,15.2
Iowa,IA,3155070.0,19000,173688000000,6149694000,55050.4,1949.1,28.2
Kansas,KS,2913314.0,20000,155944000000,7538475000,53528.0,2587.6,20.7
Kentucky,KY,4467673.0,21000,189365000000,14403514000,42385.6,3223.9,13.1
Louisiana,LA,4648794.0,22000,240475000000,18092508000,51728.5,3891.9,13.3
Maine,ME,1344212.0,23000,58528000000,4750384000,43540.8,3534.0,12.3
Maryland,MD,6045680.0,24000,374385000000,28027363000,61926.0,4635.9,13.4
Massachusetts,MA,6892503.0,25000,518718000000,77043165000,75258.3,11177.8,6.7
Michigan,MI,9986857.0,26000,473859000000,33463604000,47448.3,3350.8,14.2
Minnesota,MN,5639632.0,27000,338752000000,16363418000,60066.3,2901.5,20.7
Mississippi,MS,2976149.0,28000,104209000000,7470178000,35014.7,2510.0,14.0
Missouri,MO,6137428.0,29000,290956000000,18419751000,47406.8,3001.2,15.8
Montana,MT,1068778.0,30000,47180000000,2795614000,44143.9,2615.7,16.9
Nebraska,NE,1934408.0,31000,114877000000,2014523000,59386.1,1041.4,57.0
Nevada,NV,3080156.0,32000,154139000000,3248814000,50042.6,1054.8,47.4
New Hampshire,NH,1359711.0,33000,77872000000,7739447000,57271.0,5692.0,10.1
New Jersey,NJ,8882190.0,34000,563949000000,65874095000,63492.1,7416.4,8.6
New Mexico,NM,2096829.0,35000,97092000000,7057656000,46304.2,3365.9,13.8
New York,NY,19453561.0,36000,1461558000000,139234923000,75130.6,7157.3,10.5
North Carolina,NC,10488084.0,37000,508625000000,16310177000,48495.5,1555.1,31.2
North Dakota,ND,762062.0,38000,54099000000,2885664000,70990.3,3786.7,18.7
Ohio,OH,11689100.0,39000,615600000000,33493235000,52664.4,2865.3,18.4
Oklahoma,OK,3956971.0,40000,201314000000,8457322000,50875.8,2137.3,23.8
Oregon,OR,4217737.0,41000,222384000000,12656643000,52725.9,3000.8,17.6
Pennsylvania,PA,12801989.0,42000,728018000000,47519575000,56867.6,3711.9,15.3
Rhode Island,RI,1059361.0,44000,55047000000,8932377000,51962.5,8431.9,6.2
South Carolina,SC,5148714.0,45000,213451000000,15744638000,41457.1,3058.0,13.6
South Dakota,SD,884659.0,46000,46810000000,3527703000,52913.0,3987.6,13.3
Tennessee,TN,6829174.0,47000,330802000000,6127422000,48439.5,897.2,54.0
Texas,TX,28995881.0,48000,1788527000000,50963262000,61682.1,1757.6,35.1
Utah,UT,3205958.0,49000,164808000000,7453346000,51406.8,2324.8,22.1
Vermont,VT,623989.0,50000,30484000000,3502960000,48853.4,5613.8,8.7
Virginia,VA,8535519.0,51000,485998000000,27825929000,56938.3,3260.0,17.5
Washington,WA,7614893.0,53000,531224000000,33427752000,69761.2,4389.8,15.9
West Virginia,WV,1792147.0,54000,72161000000,7547010000,40265.1,4211.2,9.6
Wisconsin,WI,5822434.0,55000,305874000000,23252381000,52533.7,3993.6,13.2
Wyoming,WY,578759.0,56000,39306000000,769721000,67914.3,1330.0,51.1
